id;job_title;min_salary;max_salary
1;Региональный интеграционный разработчик;14332;18313
2;Главный коммуникационный агент;2473;30879
3;Генеральный маркетинговый руководитель;25399;20517
4;Национальный интеграционный консультант;31328;3180
5;Национальный логистический разработчик;23297;9253
6;Глобальный операционный разработчик;3843;18136
7;Ведущий страховой техник;22418;17987
8;Глобальный логистический дизайнер;18110;29466
9;Центральный маркетинговый помощник;15393;8054
10;Главный маркетинговый архитектор;17231;5244
