id;start_date;end_date;language
1;2025-02-25T18:44:54;2025-02-26T11:38:06;SPANISH
2;2025-02-26T05:12:38;2025-02-25T16:47:59;GERMAN
3;2025-02-25T18:03:18;2025-02-25T17:23:58;FRENCH
4;2025-02-26T02:17:51;2025-02-25T22:25:39;SPANISH
5;2025-02-25T15:56:58;2025-02-26T10:57:08;FRENCH
6;2025-02-25T21:51:58;2025-02-26T11:52:17;ENGLISH
7;2025-02-25T17:12:15;2025-02-25T20:58:58;SPANISH
8;2025-02-26T08:11:53;2025-02-26T10:37:54;SPANISH
9;2025-02-25T16:25:07;2025-02-26T00:42:30;RUSSIAN
10;2025-02-26T11:59:51;2025-02-26T07:31:12;ENGLISH
