id;street_address;postal_code;city;state_province
1;even;coliseum uh-huh;Элиста;lazily finished quickly
2;knottily but;apropos via boring;Середниково;provided
3;mushy pro;oxygenate;Лысьва;whether far-flung
4;brightly;sauerkraut vivacious;Валдай;pick provided self-reliant
5;unfit which;incidentally truthfully unless;Джейрах;while inside
6;transom;tabletop along;Мичуринск;etch ack commonly
7;both;how rebuff;Ейск;serialize pish beside
8;founder drat;once whack;Каневская;untrue which whoa
9;once;beloved concerning ethyl;Урюпинск;for
10;pish meanwhile hence;embalm step;Алагир;dreamily plus only
